relative_path,parent_dir,file_name,row_count,valid_row_count,dropped_row_count,r2,mse,rmse,mae,pearson,spearman,status,error_message
MLM/MLM_base_study_2.csv,MLM,MLM_base_study_2.csv,6701,6701,0,0.44723323037208496,0.33176817195611646,0.5759932047829354,0.4424233632343169,0.6960629043803949,0.6421962249409999,ok,
MLM/MLM_base_study_3.csv,MLM,MLM_base_study_3.csv,6701,6701,0,0.4306409354623816,0.3417267940246148,0.5845740278396012,0.44093079959611503,0.6865346042960563,0.6221166270165841,ok,
MLM/MLM_large_study_1.csv,MLM,MLM_large_study_1.csv,6701,6701,0,0.6223336060379379,0.22667370040784784,0.4761026154179872,0.3562384863316772,0.8029828710742651,0.7418619626787548,ok,
MLM/MLM_large_study_2.csv,MLM,MLM_large_study_2.csv,6701,6701,0,0.5401798787458106,0.2759820044172174,0.5253398941801559,0.3931451949196562,0.7524127797308067,0.672456177410102,ok,
MLM/MLM_large_study_3.csv,MLM,MLM_large_study_3.csv,6701,6701,0,0.5845525162351619,0.24934974351878644,0.49934932013449906,0.3736177331258105,0.7744133956169267,0.7161986400837076,ok,
MLM/MLM_small_study_1.csv,MLM,MLM_small_study_1.csv,6701,6701,0,0.3102241780308138,0.4140003996048603,0.6434286282136196,0.4941790620883247,0.586972350195353,0.5183837976064536,ok,
MLM/MLM_small_study_2.csv,MLM,MLM_small_study_2.csv,6701,6701,0,0.07498306475367256,0.5551910760513005,0.7451114521004898,0.5762662293537039,0.5380510129385648,0.4949939565770978,ok,
MLM/MLM_small_study_3.csv,MLM,MLM_small_study_3.csv,6701,6701,0,0.3244840230110434,0.40544170367483373,0.6367430436799713,0.4785447379372544,0.6063330413572501,0.536228763736165,ok,
MTR/MTR_base_study_1.csv,MTR,MTR_base_study_1.csv,6701,6701,0,0.4627302429617496,0.3224669334950657,0.5678617203994875,0.42974368023811893,0.7180985033149403,0.6385232439698416,ok,
MTR/MTR_base_study_2.csv,MTR,MTR_base_study_2.csv,6701,6701,0,0.5258134872731428,0.2846046490810804,0.5334835040383914,0.39672330090082003,0.7419771670944141,0.6800125368790696,ok,
MTR/MTR_base_study_3.csv,MTR,MTR_base_study_3.csv,6701,6701,0,0.5174638100765878,0.2896160884297037,0.5381599097198747,0.4100525442782916,0.734704922373976,0.6688831118499791,ok,
MTR/MTR_large_study_1.csv,MTR,MTR_large_study_1.csv,6701,6701,0,0.5648159253147175,0.26119555815545353,0.5110729479785185,0.3821758073722226,0.7719331875756331,0.7014926794496809,ok,
MTR/MTR_large_study_2.csv,MTR,MTR_large_study_2.csv,6701,6701,0,0.6006429679653817,0.23969232550851688,0.48958382888787993,0.3630955847219431,0.7904080645456169,0.7295967946514479,ok,
MTR/MTR_large_study_3.csv,MTR,MTR_large_study_3.csv,6701,6701,0,0.5790822272357279,0.25263298679810936,0.5026260904470732,0.3764319763587778,0.7722829659494657,0.7054125658362331,ok,
MTR/MTR_small_span_masking_study_1.csv,MTR,MTR_small_span_masking_study_1.csv,6701,6701,0,0.11879263343470281,0.5288967665629153,0.727252890377835,0.5558203672370062,0.46738735033379025,0.44886237467612666,ok,
MTR/MTR_small_span_masking_study_2.csv,MTR,MTR_small_span_masking_study_2.csv,6701,6701,0,0.2920826283606145,0.42488887753305515,0.6518350079069513,0.4947413254794639,0.594222477839379,0.5482681073765785,ok,
MTR/MTR_small_span_masking_study_3.csv,MTR,MTR_small_span_masking_study_3.csv,6701,6701,0,0.3084173576835093,0.41508484519134486,0.644270785610635,0.4912686459951624,0.5950137603176905,0.5415643235285936,ok,
MTR/MTR_small_study_1.csv,MTR,MTR_small_study_1.csv,6701,6701,0,0.3712508876814382,0.3773724382045882,0.6143064692843371,0.4716471708335017,0.6472581360393117,0.5964553032802847,ok,
MTR/MTR_small_study_2.csv,MTR,MTR_small_study_2.csv,6701,6701,0,0.333103371223447,0.40026840897441734,0.6326676923744544,0.48893902088951446,0.6327243623669419,0.5433921385861696,ok,
MTR/MTR_small_study_3.csv,MTR,MTR_small_study_3.csv,6701,6701,0,0.4286304636685475,0.34293347030918714,0.5856052171123368,0.44041276705761384,0.6590993792521151,0.6063803793482881,ok,
